通常
	32864
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果
		属性: 暗
		种族: 魔法师
		效果类型: 卡片除外|返回手卡|卡片回收
		攻击力: 2800
		防御力: 2600
		星级: 8
	40817915
		卡名: 电击栗子
		密码: 40817915
		效果: 自己的主要阶段时，选择持有超量素材的1只超量怪兽才能发动。把选择的怪兽1个超量素材取除，从自己卡组把1只「电击栗子」特殊召唤。这张卡不能作为同调素材。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果
		属性: 光
		种族: 雷
		效果类型: 特殊召唤|超量相关
		攻击力: 300
		防御力: 200
		星级: 1
	40844552
		卡名: 极星天 女武神
		密码: 40844552
		效果: 这张卡召唤成功时，对方场上有怪兽存在，自己场上没有这张卡以外的卡存在的场合，把手卡2只名字带有「极星」的怪兽从游戏中除外才能发动。在自己场上把2只「英灵衍生物」（战士族·地·4星·攻/守1000）守备表示特殊召唤。
		OT: OCG|TCG
		同名卡: 
		字段: 极星天
		卡片种类: 怪兽|效果|调整
		属性: 光
		种族: 天使
		效果类型: 卡片除外|特殊召唤
		攻击力: 400
		防御力: 800
		星级: 2
	40867519
		卡名: 静寂虫
		密码: 40867519
		效果: 这张卡召唤·反转召唤成功的场合变成守备表示。只要这张卡在场上表侧表示存在，永续魔法·永续陷阱卡的效果无效。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果
		属性: 地
		种族: 昆虫
		效果类型: 表示形式|效果无效
		攻击力: 200
		防御力: 300
		星级: 2
	40884383
		卡名: 凶恶犯-开膛手
		密码: 40884383
		效果: 这张卡反转召唤成功时，可以从自己墓地里选择1张装备魔法卡装备在这张卡身上。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果
		属性: 暗
		种族: 不死
		效果类型: 
		攻击力: 1100
		防御力: 500
		星级: 3
	40894584
		卡名: 电豪灵蜥
		密码: 40894584
		效果: ①：「电豪灵蜥」在自己场上只能有1只表侧表示存在。\r\n②：自己场上有魔法师族怪兽存在的场合，这张卡可以从手卡特殊召唤。\r\n③：这张卡被战斗·效果破坏送去墓地时才能发动。从卡组把「电豪灵蜥」以外的1只攻击力1500/守备力200的怪兽特殊召唤。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果
		属性: 水
		种族: 爬虫
		效果类型: 特殊召唤
		攻击力: 1500
		防御力: 200
		星级: 4
	40907115
		卡名: 灵兽使 文
		密码: 40907115
		效果: 自己对「灵兽使 文」1回合只能有1次特殊召唤。\r\n①：这张卡召唤成功的场合，以除外的1只自己的「灵兽」怪兽为对象才能发动。那只怪兽特殊召唤。
		OT: OCG|TCG
		同名卡: 
		字段: 灵兽使
		卡片种类: 怪兽|效果
		属性: 风
		种族: 念动力
		效果类型: 特殊召唤
		攻击力: 1500
		防御力: 1000
		星级: 3
	40916023
		卡名: 水之精灵 阿库艾丽娅
		密码: 40916023
		效果: 这张卡不能通常召唤。自己墓地1只水属性怪兽从游戏中除外特殊召唤上场。每次对方的准备阶段可以选对方的1只表侧表示的怪兽改变它的表示形式。被改变表示形式的怪兽这个回合不能改变表示形式。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果|特殊召唤
		属性: 水
		种族: 水
		效果类型: 表示形式|特殊召唤|属性相关
		攻击力: 1600
		防御力: 1200
		星级: 4
	40921545
		卡名: 入魔鲸人
		密码: 40921545
		效果: 把这张卡解放发动。选择对方场上存在的1张魔法·陷阱卡破坏。
		OT: OCG|TCG
		同名卡: 
		字段: 入魔
		卡片种类: 怪兽|效果
		属性: 暗
		种族: 水
		效果类型: 魔陷破坏
		攻击力: 1750
		防御力: 1050
		星级: 4
	40921744
		卡名: 堕天使 杰拉特
		密码: 40921744
		效果: 自己墓地有暗属性怪兽4种类以上存在的场合，这张卡可以把1只暗属性怪兽解放作上级召唤。\r\n①：从手卡把1只暗属性怪兽送去墓地才能发动。对方场上的怪兽全部破坏。\r\n②：这张卡的①的效果发动的回合的结束阶段发动。这张卡破坏。
		OT: OCG|TCG
		同名卡: 
		字段: 堕天使
		卡片种类: 怪兽|效果
		属性: 暗
		种族: 天使
		效果类型: 怪兽破坏
		攻击力: 2800
		防御力: 2300
		星级: 8
	40933924
		卡名: 黑蝎盗掘团
		密码: 40933924
		效果: 这张卡给与对方玩家战斗伤害时，对方从卡组选择1张魔法卡送去墓地，之后卡组洗切。
		OT: OCG|TCG
		同名卡: 
		字段: 黑蝎
		卡片种类: 怪兽|效果
		属性: 暗
		种族: 战士
		效果类型: 卡组破坏
		攻击力: 1000
		防御力: 1000
		星级: 4
	40937767
		卡名: 墓穴食人魔
		密码: 40937767
		效果: 只要自己场上存在里侧守备表示的怪兽，这张卡不能被选择为攻击对象。每次自己场上的怪兽反转召唤，给与对方300分伤害。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果
		属性: 地
		种族: 岩石
		效果类型: LP伤害
		攻击力: 1600
		防御力: 1500
		星级: 4
	40941889
		卡名: 异热同心武器-阿修罗副腕
		密码: 40941889
		效果: 自己的主要阶段时，手卡或者自己场上的这只怪兽可以当作攻击力上升1000的装备卡使用给自己场上的名字带有「希望皇 霍普」的怪兽装备。装备怪兽可以向对方场上的全部怪兽各作1次攻击。「异热同心武器-阿修罗副腕」在自己场上只能有1张表侧表示存在。
		OT: OCG|TCG
		同名卡: 
		字段: 异热同心武器
		卡片种类: 怪兽|效果
		属性: 炎
		种族: 天使
		效果类型: 攻守变化|多次攻击
		攻击力: 1000
		防御力: 1000
		星级: 4
	40945356
		卡名: 黄昏之中忍-日轮
		密码: 40945356
		效果: 这张卡在规则上也当作「忍者」卡使用。\r\n①：1回合1次，可以从手卡丢弃1只「忍者」怪兽，从以下效果选择1个发动。这个效果在对方回合也能发动。\r\n●这个回合，自己场上的「忍者」怪兽以及「忍法」卡不会被战斗·效果破坏。\r\n●选自己场上1只「忍者」怪兽，那个攻击力直到回合结束时上升1000。
		OT: OCG|TCG
		同名卡: 
		字段: 忍者
		卡片种类: 怪兽|效果
		属性: 暗
		种族: 战士
		效果类型: 攻守变化|破坏耐性
		攻击力: 2300
		防御力: 1000
		星级: 6
	40975574
		卡名: 红莲共鸣者
		密码: 40975574
		效果: 「红莲共鸣者」的②的效果1回合只能使用1次。\r\n①：这张卡召唤成功时才能发动。从手卡把1只4星以下的怪兽特殊召唤。\r\n②：这张卡特殊召唤成功时，以场上1只表侧表示怪兽为对象才能发动。自己回复那只怪兽的攻击力数值的基本分。
		OT: OCG|TCG
		同名卡: 
		字段: 共鸣者
		卡片种类: 怪兽|效果|调整
		属性: 炎
		种族: 恶魔
		效果类型: 特殊召唤|LP回复
		攻击力: 600
		防御力: 200
		星级: 2
	40991587
		卡名: 白骨夫人
		密码: 40991587
		效果: 这张卡的卡名，在墓地作为「白骨」使用。此外，只要这张卡在自己场上表侧表示存在，场上表侧表示存在的「白骨夫人」以外的3星以下的不死族怪兽不会被战斗破坏，也不受魔法·陷阱的效果影响。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果
		属性: 暗
		种族: 不死
		效果类型: 种族相关|破坏耐性|效果耐性
		攻击力: 0
		防御力: 2200
		星级: 3
	41006930
		卡名: 速攻的黑衣忍者
		密码: 41006930
		效果: 这个卡名的效果1回合只能使用1次。\r\n①：从自己墓地把2只暗属性怪兽除外才能发动。表侧表示的这张卡直到结束阶段除外。这个效果在对方回合也能发动。
		OT: OCG|TCG
		同名卡: 
		字段: 忍者
		卡片种类: 怪兽|效果
		属性: 暗
		种族: 战士
		效果类型: 卡片除外|属性相关
		攻击力: 1700
		防御力: 1200
		星级: 4
	41039846
		卡名: 乌鸦巨群
		密码: 41039846
		效果: 这张卡不能从卡组特殊召唤。这张卡1回合只有1次可以变成里侧守备表示。这张卡反转召唤成功时，对方手卡随机丢弃1张。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果
		属性: 暗
		种族: 鸟兽
		效果类型: 手卡破坏|表示形式
		攻击力: 1200
		防御力: 1800
		星级: 5
	41077745
		卡名: 元素英雄 冰棱侠
		密码: 41077745
		效果: 1回合1次，自己的主要阶段一丢弃1张手卡发动。这个回合这张卡可以直接攻击对方玩家。此外，这张卡直接攻击给与对方基本分战斗伤害时，可以把对方的魔法与陷阱卡区域盖放的1张卡破坏。
		OT: OCG|TCG
		同名卡: 
		字段: 元素英雄
		卡片种类: 怪兽|效果
		属性: 水
		种族: 战士
		效果类型: 魔陷破坏|直接攻击
		攻击力: 800
		防御力: 900
		星级: 3
	41089128
		卡名: 火焰支配者
		密码: 41089128
		效果: 祭品召唤炎属性怪兽的场合，这只怪兽1只作为2只份的祭品使用。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果
		属性: 炎
		种族: 炎
		效果类型: 属性相关
		攻击力: 1500
		防御力: 1600
		星级: 4
	41090784
		卡名: 冰结界的大僧正
		密码: 41090784
		效果: 这张卡召唤·反转召唤成功时，变成守备表示。只要这张卡在场上表侧表示存在，自己场上表侧表示存在的名字带有「冰结界」的怪兽不会被魔法·陷阱卡的效果破坏。
		OT: OCG|TCG
		同名卡: 
		字段: 冰结界
		卡片种类: 怪兽|效果
		属性: 水
		种族: 魔法师
		效果类型: 表示形式|破坏耐性
		攻击力: 1600
		防御力: 2200
		星级: 6
	41091257
		卡名: 秘旋谍-花公子
		密码: 41091257
		效果: 这个卡名的①②的效果1回合各能使用1次。\r\n①：这张卡在手卡存在的场合，宣言卡的种类（怪兽·魔法·陷阱）才能发动。对方卡组最上面的卡给双方确认，宣言的种类的卡的场合，这张卡从手卡特殊召唤。\r\n②：这张卡用「秘旋谍」卡的效果特殊召唤成功的场合，以对方场上1张魔法·陷阱卡为对象才能发动。那张卡破坏。
		OT: OCG|TCG
		同名卡: 
		字段: 秘旋谍
		卡片种类: 怪兽|效果
		属性: 地
		种族: 战士
		效果类型: 魔陷破坏|特殊召唤
		攻击力: 1900
		防御力: 1200
		星级: 4
	41098335
		卡名: 战士猿
		密码: 41098335
		效果: 这张卡战斗破坏对方怪兽的场合，这张卡的攻击力上升300。这张卡在自己回合没有进行攻击的场合，这个效果上升的数值在那个回合的结束阶段时回到0。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果
		属性: 暗
		种族: 兽
		效果类型: 攻守变化
		攻击力: 1900
		防御力: 1200
		星级: 4
	41113025
		卡名: 圆盘骑手
		密码: 41113025
		效果: 把自己墓地存在的1张通常陷阱卡从游戏中除外，这张卡的攻击力直到对方回合的结束阶段时上升500。这个效果1回合只能使用1次。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果
		属性: 风
		种族: 恶魔
		效果类型: 攻守变化
		攻击力: 1700
		防御力: 1500
		星级: 4
	41114306
		卡名: 方界兽 暗黑之甘尼克斯
		密码: 41114306
		效果: 这张卡不能通常召唤。把自己场上1只「方界」怪兽送去墓地的场合可以特殊召唤。\r\n①：这个方法特殊召唤的这张卡的攻击力上升1000。\r\n②：这张卡战斗破坏怪兽时，以自己墓地最多2只「方界胤 毗贾姆」为对象才能发动。这张卡送去墓地，作为对象的怪兽特殊召唤。那之后，可以从卡组把1只「方界兽 利刃之迦楼迪亚」加入手卡。
		OT: OCG|TCG
		同名卡: 
		字段: 方界
		卡片种类: 怪兽|效果|特殊召唤
		属性: 地
		种族: 兽
		效果类型: 卡组检索|攻守变化|特殊召唤
		攻击力: 0
		防御力: 0
		星级: 2
	41141943
		卡名: 超重武者 飞脚-Q
		密码: 41141943
		效果: 「超重武者 飞脚-Q」的②的效果1回合只能使用1次。\r\n①：自己墓地没有魔法·陷阱卡存在的场合，这张卡可以从手卡特殊召唤。这个方法特殊召唤成功的回合，自己不是「超重武者」怪兽不能特殊召唤。\r\n②：自己墓地没有魔法·陷阱卡存在的场合，把这张卡解放才能发动。从手卡把最多2只怪兽在对方场上守备表示特殊召唤。那之后，自己从卡组抽出这个效果特殊召唤的怪兽的数量。
		OT: OCG|TCG
		同名卡: 
		字段: 超重武者
		卡片种类: 怪兽|效果
		属性: 地
		种族: 机械
		效果类型: 抽卡辅助|特殊召唤
		攻击力: 1200
		防御力: 1800
		星级: 5
	41158734
		卡名: 阿普卡提基尔
		密码: 41158734
		效果: 自己场上有调整表侧表示存在的场合，场上表侧表示存在的这张卡的等级当作5星使用。场上存在的这张卡被破坏送去墓地时，可以选择自己墓地存在的1只「太阳之神官」特殊召唤。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果
		属性: 光
		种族: 雷
		效果类型: 特殊召唤
		攻击力: 1800
		防御力: 1200
		星级: 4
	41160533
		卡名: 蔷薇藤蔓
		密码: 41160533
		效果: 这张卡不能特殊召唤。自己的战斗阶段开始时对方场上有表侧表示植物族怪兽存在的场合，这个回合这张卡可以在通常攻击外加上那些植物族怪兽数量的攻击。这张卡战斗破坏植物族怪兽的场合，给与对方基本分300分伤害。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果
		属性: 地
		种族: 植物
		效果类型: 多次攻击|种族相关|LP伤害
		攻击力: 2200
		防御力: 1200
		星级: 6
	41172955
		卡名: 绿色零件
		密码: 41172955
		效果: ①：这张卡召唤·特殊召唤成功时才能发动。从卡组把1只「红色零件」加入手卡。
		OT: OCG|TCG
		同名卡: 
		字段: 零件
		卡片种类: 怪兽|效果
		属性: 地
		种族: 机械
		效果类型: 卡组检索
		攻击力: 1400
		防御力: 600
		星级: 4
	41175645
		卡名: 沉默魔术师
		密码: 41175645
		效果: 这张卡不能通常召唤。把自己场上1只魔法师族怪兽解放的场合才能特殊召唤。\r\n①：这张卡的攻击力上升自己手卡数量×500。\r\n②：1回合1次，魔法卡发动时才能发动。那个发动无效。\r\n③：场上的这张卡被战斗或者对方的效果破坏的场合才能发动。从手卡·卡组把「沉默魔术师」以外的1只「沉默魔术师」怪兽无视召唤条件特殊召唤。
		OT: OCG|TCG
		同名卡: 
		字段: 沉默魔术师
		卡片种类: 怪兽|效果|特殊召唤
		属性: 光
		种族: 魔法师
		效果类型: 攻守变化|特殊召唤|效果无效
		攻击力: 1000
		防御力: 1000
		星级: 4
	41181774
		卡名: 地缚神 维拉科查·拉斯卡
		密码: 41181774
		效果: 名字带有「地缚神」的怪兽在场上只能有1只表侧表示存在。场上没有表侧表示场地魔法卡存在的场合这张卡破坏。对方不能选择这张卡作为攻击对象。这张卡可以直接攻击对方玩家。这张卡召唤成功时，这张卡以外的自己场上最多3张卡回到卡组，回去数量的对方手卡随机丢弃，这张卡的攻击力上升丢弃数量×1000的数值。
		OT: OCG|TCG
		同名卡: 
		字段: 地缚神
		卡片种类: 怪兽|效果
		属性: 暗
		种族: 鸟兽
		效果类型: 返回卡组|手卡破坏|攻守变化|直接攻击
		攻击力: 100
		防御力: 100
		星级: 10
	41201555
		卡名: 核成孕妇蔷薇
		密码: 41201555
		效果: 这张卡的控制者在每次自己的结束阶段从手卡把1张「核成兽的钢核」送去墓地或把手卡1只植物族怪兽给对方观看。或者都不进行让这张卡破坏。自己的准备阶段时只有1次，可以从自己卡组把1只3星以下的怪兽送去墓地。
		OT: OCG|TCG
		同名卡: 
		字段: 核成
		卡片种类: 怪兽|效果
		属性: 炎
		种族: 植物
		效果类型: 送去墓地
		攻击力: 1900
		防御力: 1300
		星级: 4
	41224658
		卡名: 野望之高弗
		密码: 41224658
		效果: 1回合1次，选择对方场上存在的最多2只怪兽才能发动。对方可以把手卡1只怪兽给人观看让这张卡的效果无效。不给观看的场合，选择的怪兽破坏。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果
		属性: 暗
		种族: 恶魔
		效果类型: 怪兽破坏
		攻击力: 2400
		防御力: 100
		星级: 6
	41230939
		卡名: 电子暗黑魔角
		密码: 41230939
		效果: ①：这张卡召唤成功的场合，以自己墓地1只3星以下的龙族怪兽为对象发动。那只龙族怪兽当作装备卡使用给这张卡装备。\r\n②：这张卡的攻击力上升这张卡的效果装备的怪兽的原本攻击力数值。\r\n③：这张卡向守备表示怪兽攻击的场合，给与攻击力超过那个守备力的数值的战斗伤害。\r\n④：这张卡被战斗破坏的场合，作为代替把这张卡的效果装备的怪兽破坏。
		OT: OCG|TCG
		同名卡: 
		字段: 电子暗黑
		卡片种类: 怪兽|效果
		属性: 暗
		种族: 机械
		效果类型: 攻守变化|穿刺伤害|种族相关|破坏耐性
		攻击力: 800
		防御力: 800
		星级: 4
	41249545
		卡名: 幻灵草
		密码: 41249545
		效果: 这张卡的攻击力上升自己墓地存在的「幻灵草」的数量×500的数值。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果
		属性: 水
		种族: 植物
		效果类型: 攻守变化
		攻击力: 1000
		防御力: 1000
		星级: 3
	41269771
		卡名: 星圣·牛宿二
		密码: 41269771
		效果: ①：这张卡召唤成功时才能发动。从手卡把1只4星的「星圣」怪兽特殊召唤。
		OT: OCG|TCG
		同名卡: 
		字段: 星圣
		卡片种类: 怪兽|效果
		属性: 光
		种族: 魔法师
		效果类型: 特殊召唤
		攻击力: 1600
		防御力: 1400
		星级: 4
	41307269
		卡名: 超重武者 兜-10
		密码: 41307269
		效果: ①：对方对怪兽的特殊召唤成功的场合才能发动。自己场上的攻击表示的「超重武者」怪兽全部变成守备表示，那个守备力直到回合结束时上升500。
		OT: OCG|TCG
		同名卡: 
		字段: 超重武者
		卡片种类: 怪兽|效果
		属性: 地
		种族: 机械
		效果类型: 破坏耐性
		攻击力: 1000
		防御力: 2000
		星级: 4
	41329458
		卡名: 幻兽机 加里宁狮鹫
		密码: 41329458
		效果: 自己的主要阶段时，把自己场上2只名字带有「幻兽机」的怪兽解放才能发动。这张卡从手卡特殊召唤。「幻兽机 加里宁狮鹫」的这个效果1回合只能使用1次。只要自己场上有衍生物存在，这张卡不会被战斗以及效果破坏。此外，1回合1次，把手卡1只名字带有「幻兽机」的怪兽丢弃才能发动。把1只「幻兽机衍生物」（机械族·风·3星·攻/守0）特殊召唤。
		OT: OCG|TCG
		同名卡: 
		字段: 幻兽机
		卡片种类: 怪兽|效果
		属性: 风
		种族: 机械
		效果类型: 特殊召唤|衍生物|破坏耐性
		攻击力: 1000
		防御力: 2500
		星级: 7
	41382147
		卡名: 星见鸟 拉里斯
		密码: 41382147
		效果: 这张卡的攻击力在伤害步骤时上升战斗的对方怪兽等级×200的数值。这张卡攻击的场合伤害步骤结束时从游戏中除外，下次自己回合的战斗阶段开始时表侧攻击表示回到自己场上。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果
		属性: 风
		种族: 鸟兽
		效果类型: 卡片除外|攻守变化
		攻击力: 800
		防御力: 800
		星级: 3
	41386308
		卡名: 数学家
		密码: 41386308
		效果: ①：这张卡召唤成功时才能发动。从卡组把1只4星以下的怪兽送去墓地。\r\n②：这张卡被战斗破坏送去墓地时才能发动。自己从卡组抽1张。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果
		属性: 地
		种族: 魔法师
		效果类型: 送去墓地|抽卡辅助
		攻击力: 1500
		防御力: 500
		星级: 3
	41431329
		卡名: 大日立方体
		密码: 41431329
		效果: 这张卡被光属性怪兽的同调召唤使用送去墓地的场合，可以从自己卡组选择1张装备魔法卡加入手卡。
		OT: OCG|TCG
		同名卡: 
		字段: 大日
		卡片种类: 怪兽|效果|调整
		属性: 光
		种族: 机械
		效果类型: 卡组检索|属性相关
		攻击力: 800
		防御力: 800
		星级: 3
	41440148
		卡名: 娱乐伙伴 探寻河马
		密码: 41440148
		效果: ①：这张卡召唤成功的回合，自己在通常召唤外加上只有1次，自己主要阶段可以把1只7星以上的怪兽表侧攻击表示上级召唤。
		OT: OCG|TCG
		同名卡: 
		字段: 娱乐伙伴
		卡片种类: 怪兽|效果
		属性: 地
		种族: 兽
		效果类型: 
		攻击力: 800
		防御力: 800
		星级: 3
	41442341
		卡名: 操纵死灵的傀儡师
		密码: 41442341
		效果: ①：这张卡上级召唤成功时，支付2000基本分，以自己墓地2只恶魔族怪兽为对象才能发动。那些恶魔族怪兽特殊召唤。这个效果特殊召唤的怪兽在这个回合不能攻击。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果
		属性: 暗
		种族: 恶魔
		效果类型: 攻击限制|特殊召唤
		攻击力: 0
		防御力: 0
		星级: 6
	41456841
		卡名: 究极变异态昆虫女王
		密码: 41456841
		效果: 这张卡不能通常召唤，用卡的效果才能特殊召唤。\r\n①：场上有其他的昆虫族怪兽存在的场合，自己场上的昆虫族怪兽不会成为对方的效果的对象，不会被对方的效果破坏。\r\n②：这张卡攻击的伤害步骤结束时，把自己场上1只怪兽解放才能发动。这张卡向对方怪兽可以继续攻击。\r\n③：自己·对方的结束阶段才能发动。在自己场上把1只「昆虫怪兽衍生物」（昆虫族·地·1星·攻/守100）特殊召唤。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果|特殊召唤
		属性: 地
		种族: 昆虫
		效果类型: 多次攻击|特殊召唤|衍生物|破坏耐性
		攻击力: 2800
		防御力: 2400
		星级: 7
	41470137
		卡名: 剑斗兽 枪斗
		密码: 41470137
		效果: ①：这张卡用「剑斗兽」怪兽的效果特殊召唤成功的场合，以场上1张魔法·陷阱卡为对象发动。那张卡破坏。\r\n②：这张卡进行战斗的战斗阶段结束时让这张卡回到持有者卡组才能发动。从卡组把「剑斗兽 枪斗」以外的1只「剑斗兽」怪兽特殊召唤。
		OT: OCG|TCG
		同名卡: 
		字段: 剑斗兽
		卡片种类: 怪兽|效果
		属性: 风
		种族: 鸟兽
		效果类型: 魔陷破坏|返回卡组|特殊召唤
		攻击力: 1500
		防御力: 800
		星级: 4
	41493640
		卡名: 行列怪兽 骑士之桂马
		密码: 41493640
		效果: 这张卡召唤成功时，选择对方的魔法与陷阱卡区域盖放的1张卡才能发动。把盖放的那张卡确认，陷阱卡的场合，那张卡破坏。不是的场合，回到原状。这个效果把陷阱卡破坏时，可以把以下效果发动。\r\n●从手卡把1只地属性·3星怪兽表侧守备表示特殊召唤。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果
		属性: 地
		种族: 兽战士
		效果类型: 怪兽破坏|特殊召唤
		攻击力: 800
		防御力: 400
		星级: 3
	41562624
		卡名: 不知火的武部
		密码: 41562624
		效果: 这个卡名的①②的效果1回合各能使用1次。\r\n①：这张卡召唤成功时才能发动。从手卡·卡组把1只「妖刀-不知火」怪兽特殊召唤。这个效果的发动后，直到回合结束时自己不是不死族怪兽不能特殊召唤。\r\n②：这张卡被除外的场合才能发动。自己从卡组抽1张。那之后，选1张手卡丢弃。
		OT: OCG
		同名卡: 
		字段: 不知火
		卡片种类: 怪兽|效果
		属性: 炎
		种族: 不死
		效果类型: 抽卡辅助|特殊召唤
		攻击力: 1500
		防御力: 0
		星级: 4
	41589166
		卡名: 天下人 紫炎
		密码: 41589166
		效果: 这张卡不受陷阱卡的效果影响。
		OT: OCG|TCG
		同名卡: 
		字段: 紫炎
		卡片种类: 怪兽|效果
		属性: 炎
		种族: 炎
		效果类型: 效果耐性
		攻击力: 1500
		防御力: 1000
		星级: 4
	41613948
		卡名: 命运英雄 恶魔人
		密码: 41613948
		效果: 这张卡在自己场上表侧攻击表示存在的场合，1回合只有1次，可以把1只对方怪兽从游戏中除外。使用这个效果的玩家在这个回合不能进行战斗。这个效果除外的怪兽在第2次自己的准备阶段时以相同的表示形式回到对方场上。
		OT: OCG|TCG
		同名卡: 
		字段: 命运英雄
		卡片种类: 怪兽|效果
		属性: 暗
		种族: 战士
		效果类型: 卡片除外|攻击限制
		攻击力: 600
		防御力: 800
		星级: 3
	41628550
		卡名: 超重武者 鬼若-O2
		密码: 41628550
		效果: ①：这张卡召唤·特殊召唤成功时才能发动。这张卡的表示形式变更。\r\n②：这张卡不会被战斗破坏。
		OT: OCG|TCG
		同名卡: 
		字段: 超重武者
		卡片种类: 怪兽|效果
		属性: 地
		种族: 机械
		效果类型: 表示形式|破坏耐性
		攻击力: 0
		防御力: 2000
		星级: 4
	41639001
		卡名: 圣刻龙-半龙努特
		密码: 41639001
		效果: 场上表侧表示存在的这张卡成为魔法·陷阱·效果怪兽的效果的对象时发动。从自己的手卡·卡组·墓地选1只龙族的通常怪兽，攻击力·守备力变成0特殊召唤。这个效果1回合只能使用1次。
		OT: OCG|TCG
		同名卡: 
		字段: 圣刻
		卡片种类: 怪兽|效果
		属性: 光
		种族: 龙
		效果类型: 特殊召唤|种族相关
		攻击力: 1700
		防御力: 900
		星级: 4
	41705642
		卡名: 打捞战士
		密码: 41705642
		效果: 这张卡上级召唤成功时，可以从手卡或者自己墓地把1只调整特殊召唤。
		OT: OCG|TCG
		同名卡: 
		字段: 战士
		卡片种类: 怪兽|效果
		属性: 水
		种族: 战士
		效果类型: 特殊召唤
		攻击力: 1900
		防御力: 1600
		星级: 5
	41729254
		卡名: 翼之魔妖-波旬
		密码: 41729254
		效果: 这个卡名的①的效果1回合只能使用1次。\r\n①：这张卡召唤·特殊召唤成功的场合才能发动。从卡组把「翼之魔妖-波旬」以外的1只「魔妖」怪兽特殊召唤。\r\n②：只要这张卡在怪兽区域存在，自己不是「魔妖」怪兽不能从额外卡组特殊召唤。
		OT: OCG
		同名卡: 
		字段: 魔妖
		卡片种类: 怪兽|效果
		属性: 风
		种族: 不死
		效果类型: 特殊召唤
		攻击力: 600
		防御力: 400
		星级: 1
	41741922
		卡名: 溶岩龙
		密码: 41741922
		效果: 把自己场上表侧守备表示存在的这张卡解放发动。从自己的手卡以及墓地各把1只3星以下的龙族怪兽特殊召唤。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果
		属性: 炎
		种族: 龙
		效果类型: 特殊召唤|种族相关
		攻击力: 1600
		防御力: 1200
		星级: 4
	41753322
		卡名: 龙脚兽 腕龙
		密码: 41753322
		效果: 这张卡不能从卡组特殊召唤。这张卡可以把1只恐龙族怪兽解放表侧表示上级召唤。\r\n①：自己主要阶段才能发动。这张卡变成里侧守备表示（1回合只有1次）。\r\n②：这张卡反转召唤成功的场合发动。这张卡以外的场上的怪兽全部变成里侧守备表示。\r\n③：这张卡被攻击的场合，那次战斗发生的对对方的战斗伤害变成2倍。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果
		属性: 地
		种族: 恐龙
		效果类型: 表示形式
		攻击力: 1500
		防御力: 3000
		星级: 8
	41767843
		卡名: 幻奏的音女 丝可尔
		密码: 41767843
		效果: ①：自己的「幻奏」怪兽和对方怪兽进行战斗的伤害计算时，把这张卡从手卡送去墓地才能发动。那只对方怪兽的攻击力·守备力直到回合结束时变成0。
		OT: OCG|TCG
		同名卡: 
		字段: 幻奏
		卡片种类: 怪兽|效果
		属性: 光
		种族: 天使
		效果类型: 攻守变化
		攻击力: 200
		防御力: 200
		星级: 2
	41782653
		卡名: 超顶科技血神翼龙
		密码: 41782653
		效果: 这张卡不能通常召唤。让除外的5只自己的恐龙族怪兽回到卡组的场合才能特殊召唤。这个卡名的②的效果1回合只能使用1次。\r\n①：1回合1次，对方把魔法·陷阱卡发动时才能发动。选自己的手卡·场上1只恐龙族怪兽破坏，那个发动无效并破坏。\r\n②：这张卡被效果送去墓地的场合才能发动。从卡组把1张「进化药」魔法卡加入手卡。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果|特殊召唤
		属性: 暗
		种族: 恐龙
		效果类型: 怪兽破坏|返回卡组|卡组检索|特殊召唤
		攻击力: 2700
		防御力: 2100
