通常
	卡名: 第13人的埋葬者
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 特殊召唤|种族相关|LP伤害
	属性: 光
	种族: 天使
	攻击力: 2600
	防御力: 800
	星级: 7

	卡名: 黑羽-黑枪之布拉斯特
	密码: 49003716
	描述: ①：自己场上有「黑羽-黑枪之布拉斯特」以外的「黑羽」怪兽存在的场合，这张卡可以从手卡特殊召唤。
②：这张卡向守备表示怪兽攻击的场合，给与攻击力超过那个守备力的数值的战斗伤害。
	OT: OCG|TCG
	同名卡: 
	字段: 黑羽
	卡片种类: 怪兽|效果
	效果类型: 穿刺伤害|特殊召唤
	属性: 暗
	种族: 鸟兽
	攻击力: 1700
	防御力: 800
	星级: 4

	卡名: 永火甲虫
	密码: 49080532
	描述: 自己手卡是0张的场合，可以把这张卡解放从自己卡组把最多2只「永火甲虫」特殊召唤。
	OT: OCG|TCG
	同名卡: 
	字段: 永火
	卡片种类: 怪兽|效果|调整
	效果类型: 送去墓地|特殊召唤
	属性: 暗
	种族: 昆虫
	攻击力: 1200
	防御力: 0
	星级: 2

	卡名: 死亡兔
	密码: 49144107
	描述: 反转：衍生物以外的自己场上表侧表示存在的通常怪兽每有1只，给与对方基本分1000分伤害。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果|反转
	效果类型: LP伤害
	属性: 地
	种族: 兽
	攻击力: 1000
	防御力: 1900
	星级: 3

	卡名: 魔导剑士 沙里奥
	密码: 49191560
	描述: 1回合1次，从手卡丢弃1张名字带有「魔导书」的魔法卡才能发动。选择自己墓地1只魔法师族怪兽加入手卡。
	OT: OCG|TCG
	同名卡: 
	字段: 魔导
	卡片种类: 怪兽|效果
	效果类型: 返回手卡|卡片回收|种族相关
	属性: 风
	种族: 魔法师
	攻击力: 1800
	防御力: 1300
	星级: 4

	卡名: 幻影之骑士
	密码: 49217579
	描述: 这张卡只能以「黑炎之骑士」的效果进行特殊召唤。伤害计算时，这张卡的攻击力要加上对方怪兽的原始攻击力。这张卡进行战斗的回合，结束阶段时，这张卡从游戏中除外。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果|特殊召唤
	效果类型: 卡片除外|攻守变化|特殊召唤
	属性: 光
	种族: 战士
	攻击力: 2800
	防御力: 2000
	星级: 8

	卡名: 妖仙兽 凶旋岚
	密码: 49249907
	描述: ①：这张卡召唤成功的场合才能发动。从卡组把「妖仙兽 凶旋岚」以外的1只「妖仙兽」怪兽特殊召唤。
②：这张卡特殊召唤的回合的结束阶段发动。这张卡回到持有者手卡。
	OT: OCG|TCG
	同名卡: 
	字段: 妖仙兽
	卡片种类: 怪兽|效果
	效果类型: 特殊召唤
	属性: 风
	种族: 兽
	攻击力: 2000
	防御力: 100
	星级: 6

	卡名: 魔偶甜点·枫糖浆绵羊
	密码: 49374988
	描述: 这张卡被对方破坏送去墓地时，这张卡回到卡组。1回合1次，选择自己场上表侧攻击表示存在的1只名字带有「魔偶甜点」的怪兽和对方场上表侧攻击表示存在的1只怪兽才能发动。选择的2只怪兽变成表侧守备表示，直到下次的对方回合结束时，选择的怪兽不能把表示形式变更。
	OT: OCG|TCG
	同名卡: 
	字段: 魔偶甜点
	卡片种类: 怪兽|效果
	效果类型: 返回卡组|表示形式
	属性: 地
	种族: 兽
	攻击力: 0
	防御力: 1800
	星级: 3

	卡名: 电子化芭蕾裙
	密码: 49375719
	描述: 对方场上存在的全部怪兽的攻击力都比这张卡的攻击力高的场合，这张卡可以直接攻击对方玩家。
	OT: OCG|TCG
	同名卡: 
	字段: 电子
	卡片种类: 怪兽|效果
	效果类型: 直接攻击
	属性: 地
	种族: 战士
	攻击力: 1000
	防御力: 800
	星级: 3

	卡名: 复仇死者之核
	密码: 49394035
	描述: 这个卡名的①②的效果1回合各能使用1次。
①：这张卡在墓地存在的场合，从自己墓地把这张卡以外的1只不死族怪兽除外才能发动。这张卡特殊召唤。这个效果特殊召唤的这张卡从场上离开的场合除外。
②：使用场上的这张卡仪式召唤的「复仇死者」怪兽得到以下效果。
●这张卡不会成为对方的效果的对象。
	OT: OCG|TCG
	同名卡: 
	字段: 复仇死者
	卡片种类: 怪兽|效果
	效果类型: 卡组检索
	属性: 暗
	种族: 不死
	攻击力: 0
	防御力: 500
	星级: 1

	卡名: 究极昆虫 LV1
	密码: 49441499
	描述: 自己场上表侧表示存在的这张卡不会受到魔法的效果影响。自己回合的准备阶段时，可以把表侧表示的这张卡送到墓地，从手卡·卡组特殊召唤1只「究极昆虫 LV3」。（召唤·特殊召唤·反转的回合不能使用此效果）
	OT: OCG|TCG
	同名卡: 
	字段: LV
	卡片种类: 怪兽|效果
	效果类型: 送去墓地|特殊召唤|效果耐性
	属性: 风
	种族: 昆虫
	攻击力: 0
	防御力: 0
	星级: 1

	卡名: 黑羽-流离之木枯
	密码: 49460512
	描述: 自己场上表侧表示存在的名字带有「黑羽」的怪兽被卡的效果破坏送去墓地时，这张卡可以从手卡特殊召唤。此外，这张卡为同调素材的同调召唤成功时，对方不能把魔法·陷阱·效果怪兽的效果发动。
	OT: OCG|TCG
	同名卡: 
	字段: 黑羽
	卡片种类: 怪兽|效果|调整
	效果类型: 特殊召唤
	属性: 暗
	种族: 鸟兽
	攻击力: 2300
	防御力: 1600
	星级: 6

	卡名: 复仇死者·斯特里克斯
	密码: 49477180
	描述: 这个卡名的①②的效果1回合各能使用1次。
①：这张卡被送去墓地的场合，把手卡1张「复仇死者」卡给对方观看才能发动。这张卡特殊召唤。这个效果特殊召唤的这张卡从场上离开的场合除外。
②：使用场上的这张卡仪式召唤的「复仇死者」怪兽得到以下效果。
●这张卡和对方怪兽进行战斗的伤害计算后才能发动。自己从卡组抽1张，那之后选1张手卡丢弃。
	OT: OCG|TCG
	同名卡: 
	字段: 复仇死者
	卡片种类: 怪兽|效果
	效果类型: 卡片除外|抽卡辅助|特殊召唤
	属性: 暗
	种族: 不死
	攻击力: 500
	防御力: 2000
	星级: 2

	卡名: 恶魔青蛙
	密码: 49522489
	描述: 这张卡的攻击力上升自己墓地存在的「恶魂邪苦止」的数量×300的数值。
	OT: OCG|TCG
	同名卡: 
	字段: 青蛙
	卡片种类: 怪兽|效果
	效果类型: 攻守变化
	属性: 水
	种族: 水
	攻击力: 1200
	防御力: 800
	星级: 3

	卡名: 魔轰神 欧特罗
	密码: 49633574
	描述: 把1张手卡送去墓地发动。从手卡把1只3星的名字带有「魔轰神」的怪兽特殊召唤。这个效果1回合只能使用1次。
	OT: OCG|TCG
	同名卡: 
	字段: 魔轰神
	卡片种类: 怪兽|效果|调整
	效果类型: 送去墓地|特殊召唤
	属性: 光
	种族: 恶魔
	攻击力: 800
	防御力: 500
	星级: 2

	卡名: 剑角甲虫
	密码: 49645921
	描述: 这张卡攻击守备表示的怪兽时，若攻击力超过那个守备力，给与对方基本分那个数值的战斗伤害。
	OT: OCG|TCG
	同名卡: 
	字段: 剑士
	卡片种类: 怪兽|效果
	效果类型: 穿刺伤害
	属性: 地
	种族: 昆虫
	攻击力: 2400
	防御力: 600
	星级: 6

	卡名: 方程式运动员 甩尾越野骑手
	密码: 49655592
	描述: ①：这张卡的攻击力上升这张卡的等级×300，对方若不支付300基本分，则不能把原本的等级或者阶级比这张卡的等级低的怪兽的效果发动。
②：「方程式运动员」魔法·陷阱卡的效果发动的场合才能发动（伤害步骤也能发动）。这张卡的等级上升1星。
③：这张卡的等级是7星以上的场合，对方不能把要把手卡丢弃发动的效果以及要把手卡送去墓地发动的效果发动。
	OT: OCG|TCG
	同名卡: 
	字段: 方程式运动员
	卡片种类: 怪兽|效果
	效果类型: 攻守变化
	属性: 风
	种族: 机械
	攻击力: 0
	防御力: 1000
	星级: 4

	卡名: 魔天使 蔷薇之巫师
	密码: 49674183
	描述: 这张卡可以让「魔天使 蔷薇之巫师」以外的自己场上表侧表示存在的1只植物族怪兽回到手卡，从手卡特殊召唤。这个方法特殊召唤的这张卡从场上离开的场合从游戏中除外。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 卡片除外|返回手卡|卡片回收|特殊召唤|种族相关
	属性: 地
	种族: 植物
	攻击力: 2400
	防御力: 1300
	星级: 7

	卡名: 核成沙人
	密码: 49680980
	描述: 这张卡的控制者在每次自己的结束阶段从手卡把1张「核成兽的钢核」送去墓地或把手卡1只岩石族怪兽给对方观看。或者都不进行让这张卡破坏。对方的陷阱卡发动时，可以把这张卡解放让那个发动无效并破坏。
	OT: OCG|TCG
	同名卡: 
	字段: 核成
	卡片种类: 怪兽|效果
	效果类型: 魔陷破坏|怪兽破坏|送去墓地|种族相关|效果无效
	属性: 地
	种族: 岩石
	攻击力: 1900
	防御力: 1200
	星级: 4

	卡名: 无败将军 弗里德
	密码: 49681811
	描述: 只要这张卡在场上表侧表示存在，这张卡为对象的魔法卡的效果无效并破坏。只要这张卡在场上表侧表示存在，可以作为自己的抽卡阶段时进行通常抽卡的代替，从自己卡组把1只4星以下的战士族怪兽加入手卡。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 卡组检索|种族相关|效果无效
	属性: 地
	种族: 战士
	攻击力: 2300
	防御力: 1700
	星级: 5

	卡名: 真六武众-辉斩
	密码: 49721904
	描述: ①：自己场上有「真六武众-辉斩」以外的「六武众」怪兽存在的场合，这张卡可以从手卡特殊召唤。
②：自己场上有这张卡以外的「六武众」怪兽2只以上存在的场合，这张卡的攻击力·守备力上升300。
	OT: OCG|TCG
	同名卡: 
	字段: 六武众
	卡片种类: 怪兽|效果
	效果类型: 攻守变化|特殊召唤
	属性: 地
	种族: 战士
	攻击力: 1800
	防御力: 500
	星级: 4

	卡名: 吸收天儿
	密码: 49771608
	描述: 这张卡战斗破坏怪兽并将其送去墓地时，自己回复被破坏的怪兽等级×300基本分。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: LP回复
	属性: 光
	种族: 天使
	攻击力: 1300
	防御力: 1000
	星级: 4

	卡名: 机炎星-吴郊狼
	密码: 49785720
	描述: 自己场上有名字带有「炎舞」的魔法·陷阱卡存在，自己场上没有怪兽存在的场合，这张卡可以从手卡特殊召唤。
	OT: OCG|TCG
	同名卡: 
	字段: 炎星
	卡片种类: 怪兽|效果
	效果类型: 特殊召唤
	属性: 炎
	种族: 兽战士
	攻击力: 2000
	防御力: 500
	星级: 5

	卡名: 代谢吸食怪
	密码: 49808196
	描述: 把这张卡解放对暗属性怪兽的上级召唤成功时，在自己场上把3只「代谢衍生物」（暗·1星·恶魔族·攻0/守0）守备表示特殊召唤。这衍生物不能为上级召唤而解放。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 特殊召唤|衍生物
	属性: 暗
	种族: 恶魔
	攻击力: 800
	防御力: 300
	星级: 3

	卡名: 武僧大师
	密码: 49814180
	描述: 这张卡不能通常召唤。把自己场上存在的1只「武僧战士」做祭品的场合才能特殊召唤。这张卡1回合可以攻击2次。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果|特殊召唤
	效果类型: 多次攻击|特殊召唤
	属性: 地
	种族: 岩石
	攻击力: 1900
	防御力: 1000
	星级: 5

	卡名: 破坏剑士的伴龙
	密码: 49823708
	描述: 「破坏剑士的伴龙」的②③的效果1回合只能有1次使用其中任意1个。
①：这张卡召唤成功时才能发动。从卡组把「破坏剑士的伴龙」以外的1张「破坏剑」卡加入手卡。
②：把这张卡解放才能发动。从自己的手卡·墓地选1只「巴斯达·布雷达」特殊召唤。
③：这张卡在墓地存在，自己场上有「巴斯达·布雷达」存在的场合，从手卡丢弃1张「破坏剑」卡才能发动。这张卡从墓地特殊召唤。
	OT: OCG|TCG
	同名卡: 
	字段: 破坏剑
	卡片种类: 怪兽|效果|调整
	效果类型: 卡组检索|特殊召唤
	属性: 光
	种族: 龙
	攻击力: 400
	防御力: 300
	星级: 1

	卡名: 黑翼的魔术师
	密码: 49826746
	描述: 只要这张卡在自己场上表侧表示存在，这张卡的控制者可以在「爆裂模式」盖放的回合发动。
	OT: OCG|TCG
	同名卡: 
	字段: 魔术师
	卡片种类: 怪兽|效果
	效果类型: 
	属性: 风
	种族: 魔法师
	攻击力: 1300
	防御力: 1200
	星级: 3

	卡名: 幻龙
	密码: 49879995
	描述: 对方把怪兽特殊召唤成功时，可以从手卡把这张卡特殊召唤。只要这张卡在场上表侧表示存在，自己的怪兽卡区域2处变成不能使用。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 特殊召唤
	属性: 光
	种族: 龙
	攻击力: 2300
	防御力: 2200
	星级: 8

	卡名: 精灵兽 雷鹰
	密码: 49885567
	描述: 自己对「精灵兽 雷鹰」1回合只能有1次特殊召唤。
①：1回合1次，自己主要阶段才能发动。从卡组把1张「灵兽」卡除外。发动后第2次的自己准备阶段，这个效果除外的卡加入手卡。
	OT: OCG|TCG
	同名卡: 
	字段: 精灵兽
	卡片种类: 怪兽|效果
	效果类型: 卡片除外|卡组检索
	属性: 风
	种族: 雷
	攻击力: 1400
	防御力: 600
	星级: 4

	卡名: 天空圣者 莫提乌斯
	密码: 49905576
	描述: ①：只要这张卡在怪兽区域存在，每次自己或者对方把反击陷阱卡发动，自己回复1000基本分，场上有「天空的圣域」存在的场合，再选对方场上1张卡破坏。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 魔陷破坏|怪兽破坏|LP回复
	属性: 光
	种族: 天使
	攻击力: 1600
	防御力: 1200
	星级: 4

	卡名: 音响战士 合成器
	密码: 49919798
	描述: ①：这张卡反转的场合才能发动。从卡组把「音响战士 合成器」以外的1只「音响战士」怪兽加入手卡。
②：1回合1次，以「音响战士 合成器」以外的自己的场上·墓地1只「音响战士」怪兽为对象才能发动。这张卡直到结束阶段当作和那只怪兽同名卡使用，得到相同效果。
③：把墓地的这张卡除外，以「音响战士 合成器」以外的除外的1只自己的「音响战士」怪兽为对象才能发动。那只怪兽特殊召唤。
	OT: OCG|TCG
	同名卡: 
	字段: 音响战士
	卡片种类: 怪兽|效果|反转
	效果类型: 卡组检索|特殊召唤
	属性: 风
	种族: 机械
	攻击力: 1200
	防御力: 1900
	星级: 4

	卡名: 白棘魟
	密码: 49930315
	描述: 这个卡名的作为①的方法的特殊召唤1回合只能有1次，作为②的效果1回合只能使用1次。
①：这张卡可以把手卡1只水属性怪兽丢弃，从手卡特殊召唤。
②：这张卡从墓地的特殊召唤成功的场合才能发动。这个回合，这张卡当作调整使用。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 特殊召唤|同调相关
	属性: 水
	种族: 鱼
	攻击力: 1400
	防御力: 1000
	星级: 4

	卡名: 齐唱僵尸
	密码: 49959355
	描述: 这个卡名的①②的效果1回合各能使用1次。
①：以场上1只表侧表示怪兽为对象才能发动。丢弃1张手卡，作为对象的怪兽的等级上升1星。
②：以场上1只表侧表示怪兽为对象才能发动。从卡组把1只不死族怪兽送去墓地，作为对象的怪兽的等级上升1星。这个效果的发动后，直到回合结束时不死族以外的自己怪兽不能攻击。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果|调整
	效果类型: 送去墓地|种族相关
	属性: 暗
	种族: 不死
	攻击力: 1300
	防御力: 0
	星级: 3

	卡名: 冰结界的军师
	密码: 50032342
	描述: 从手卡把1只名字带有「冰结界」的怪兽送去墓地发动。从自己卡组抽1张卡。这个效果1回合只能使用1次。
	OT: OCG|TCG
	同名卡: 
	字段: 冰结界
	卡片种类: 怪兽|效果
	效果类型: 送去墓地|抽卡辅助
	属性: 水
	种族: 魔法师
	攻击力: 1600
	防御力: 1600
	星级: 4

	卡名: 灵水鸟 鲸鸟海妖
	密码: 50074392
	描述: 自己场上有鱼族以及鸟兽族怪兽存在的场合，这张卡可以从手卡特殊召唤。这个方法特殊召唤成功时，宣言从3到5的任意等级才能发动。自己场上的全部怪兽的等级变成宣言的等级。这个效果发动过的回合，水属性以外的自己怪兽不能把效果发动。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 特殊召唤
	属性: 水
	种族: 鸟兽
	攻击力: 2200
	防御力: 1000
	星级: 5

	卡名: 电磁蚊
	密码: 50074522
	描述: 反转：场上表侧表示存在的机械族怪兽全部破坏。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果|反转
	效果类型: 怪兽破坏|种族相关
	属性: 光
	种族: 昆虫
	攻击力: 300
	防御力: 1000
	星级: 3

	卡名: 刻印之调停者
	密码: 50078320
	描述: ①：对方把宣言1个卡名发动的效果发动时，把这张卡从手卡送去墓地才能发动。宣言1个卡名。对方宣言的卡名变成这个效果宣言的卡名。
②：1回合1次，以场上1张表侧表示的卡为对象才能发动。下个回合的结束阶段把那张卡破坏。这个效果在对方回合也能发动。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 魔陷破坏|怪兽破坏|送去墓地
	属性: 暗
	种族: 魔法师
	攻击力: 1800
	防御力: 1200
	星级: 4

	卡名: 冰结界的传道师
	密码: 50088247
	描述: 自己场上有名字带有「冰结界」的怪兽表侧表示存在的场合，这张卡可以从手卡特殊召唤。这个效果特殊召唤的回合，自己不能把5星以上的怪兽特殊召唤。此外，可以把这张卡解放，选择「冰结界的传道师」以外的自己墓地存在的1只名字带有「冰结界」的怪兽特殊召唤。
	OT: OCG|TCG
	同名卡: 
	字段: 冰结界
	卡片种类: 怪兽|效果
	效果类型: 送去墓地|特殊召唤
	属性: 水
	种族: 水
	攻击力: 1000
	防御力: 400
	星级: 2

	卡名: 红靴子
	密码: 50122883
	描述: 反转：选择表侧表示的1只怪兽改变表示形式。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果|反转
	效果类型: 表示形式
	属性: 暗
	种族: 恶魔
	攻击力: 500
	防御力: 300
	星级: 2

	卡名: 魅惑的女王 LV7
	密码: 50140163
	描述: 用「魅惑的女王 LV5」的效果特殊召唤的场合，1回合只有1次在自己主要阶段时可以选择对方场上的1只怪兽，当作装备卡使用装备在这张卡上（这个效果可以装备的装备卡最多1张）。这张卡被战斗破坏的场合，装备的怪兽代替破坏。
	OT: OCG|TCG
	同名卡: 
	字段: LV
	卡片种类: 怪兽|效果
	效果类型: 控制权|破坏耐性
	属性: 暗
	种族: 魔法师
	攻击力: 1500
	防御力: 1500
	星级: 7

	卡名: 耳语灵仪鸟
	密码: 50155385
	描述: ①：这张卡1回合只有1次不会被战斗破坏。
②：这张卡灵摆召唤成功时才能发动。从卡组把1只仪式怪兽或者1张仪式魔法卡加入手卡。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 卡组检索|破坏耐性
	属性: 风
	种族: 鸟兽
	攻击力: 200
	防御力: 2000
	星级: 4

	卡名: 暗绿芽
	密码: 50164989
	描述: 自己场上有植物族的调整召唤时，这张卡可以从墓地攻击表示特殊召唤。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 特殊召唤
	属性: 地
	种族: 植物
	攻击力: 0
	防御力: 1000
	星级: 2

	卡名: 牲祭栗子球
	密码: 50185950
	描述: ①：这张卡被解放的场合发动。自己从卡组抽1张。
②：自己怪兽被战斗破坏的场合，可以作为代替把墓地的这张卡除外。
	OT: OCG|TCG
	同名卡: 
	字段: 栗子球
	卡片种类: 怪兽|效果
	效果类型: 卡片除外|抽卡辅助|破坏耐性
	属性: 暗
	种族: 恶魔
	攻击力: 300
	防御力: 200
	星级: 1

	卡名: 破坏神 瓦沙克
	密码: 50259460
	描述: 这张卡可以代替融合怪兽素材的其中1只来融合。这个时候，其他的融合素材必须是指定的融合素材。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 融合相关
	属性: 暗
	种族: 恶魔
	攻击力: 1100
	防御力: 900
	星级: 3

	卡名: 贪婪类星体
	密码: 50263751
	描述: ①：这张卡的原本的攻击力·守备力变成这张卡的等级×300。
②：只要这张卡在怪兽区域存在，这张卡的等级上升这张卡战斗破坏的怪兽的原本等级数值。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 攻守变化
	属性: 暗
	种族: 恶魔
	攻击力: ?
	防御力: ?
	星级: 7

	卡名: 暗黑魔族 基尔法恶魔
	密码: 50287060
	描述: ①：这张卡被送去墓地时，以场上1只表侧表示怪兽为对象才能发动。墓地的这张卡当作攻击力下降500的装备卡使用给那只怪兽装备。
	OT: OCG|TCG
	同名卡: 
	字段: 恶魔
	卡片种类: 怪兽|效果
	效果类型: 攻守变化
	属性: 暗
	种族: 恶魔
	攻击力: 2200
	防御力: 2500
	星级: 6

	卡名: 邪心英雄 地狱小魔
	密码: 50304345
	描述: 己方场上没有怪兽存在的场合，这张卡可以从手卡表侧攻击表示特殊召唤。用这张卡作为祭品把名字带有「英雄」的卡祭品召唤的场合，那个回合的结束阶段时从自己卡组抽1张卡。
	OT: OCG|TCG
	同名卡: 
	字段: 英雄
	卡片种类: 怪兽|效果
	效果类型: 抽卡辅助
	属性: 暗
	种族: 恶魔
	攻击力: 300
	防御力: 600
	星级: 2

	卡名: 漏洞人Z
	密码: 50319138
	描述: 这张卡召唤成功时，自己场上有「漏洞人X」表侧表示存在的场合，可以从自己卡组把1只「漏洞人Y」特殊召唤。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 特殊召唤
	属性: 暗
	种族: 恶魔
	攻击力: 0
	防御力: 1500
	星级: 3

	卡名: 格式弹涂鱼
	密码: 50366775
	描述: 这个卡名的①②的效果1回合各能使用1次。
①：自己主要阶段才能发动。把额外卡组1只连接怪兽给对方观看。这个回合连接召唤的场合，这张卡也能当作和给人观看的怪兽相同的卡名·种族·属性的素材使用。
②：这张卡作为连接素材送去墓地的场合才能发动。从卡组把1只5星以上的电子界族怪兽加入手卡。
	OT: OCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 卡组检索
	属性: 光
	种族: 电子界
	攻击力: 0
	防御力: 0
	星级: 1

	卡名: 黯黑之魔王 迪亚波罗斯
	密码: 50383626
	描述: 这个卡名的①③的效果1回合各能使用1次。
①：这张卡在手卡·墓地存在，自己场上的暗属性怪兽被解放的场合才能发动。这张卡特殊召唤。
②：只要这张卡在怪兽区域存在，对方不能把这张卡解放，也不能作为效果的对象。
③：把自己场上1只暗属性怪兽解放才能发动。对方选1张手卡回到卡组最上面或者最下面。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 手卡破坏|特殊召唤|效果耐性
	属性: 暗
	种族: 龙
	攻击力: 3000
	防御力: 2000
	星级: 8

	卡名: 卫星加农炮
	密码: 50400231
	描述: 这张卡不会被7星以下的怪兽战斗破坏。每次的自己的结束阶段，这张卡的攻击力上升1000。这张卡进行攻击的场合，用这个效果上升的攻击力在伤害计算后回到0。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 攻守变化|破坏耐性
	属性: 光
	种族: 机械
	攻击力: 0
	防御力: 0
	星级: 5

	卡名: 沙布提俑护符
	密码: 50412166
	描述: 从手卡丢弃这张卡。到本回合结束阶段为止，自己场上名称中带有「守墓」的怪兽卡所受战斗伤害为0。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 送去墓地
	属性: 地
	种族: 岩石
	攻击力: 100
	防御力: 100
	星级: 1

	卡名: 退行手雷破坏者
	密码: 50426119
	描述: 这张卡不能通常召唤。把自己墓地2只电子界族怪兽除外的场合可以特殊召唤。这个卡名的效果1回合只能使用1次。
①：以持有比这张卡的攻击力高的攻击力的对方场上1只怪兽为对象才能发动。那只怪兽直到结束阶段除外。这个效果在对方回合也能发动。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果|特殊召唤
	效果类型: 卡片除外|特殊召唤
	属性: 炎
	种族: 电子界
	攻击力: 2500
	防御力: 2500
	星级: 7

	卡名: 幻木龙
	密码: 50457953
	描述: 1回合1次，选择自己场上1只龙族·水属性怪兽才能发动。这张卡的等级变成和选择的怪兽的等级相同。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 
	属性: 地
	种族: 龙
	攻击力: 100
	防御力: 1400
	星级: 4

	卡名: 武神器-八尺琼
	密码: 50474354
	描述: 自己的主要阶段2，把这张卡从手卡送去墓地才能发动。从卡组把1只名字带有「武神」的怪兽加入手卡。这个效果发动的回合，自己不能把名字带有「武神」的卡以外的魔法·陷阱·效果怪兽的效果发动。「武神器-八尺琼」的效果1回合只能使用1次。
	OT: OCG|TCG
	同名卡: 
	字段: 武神
	卡片种类: 怪兽|效果
	效果类型: 卡组检索
	属性: 光
	种族: 鸟兽
	攻击力: 1800
	防御力: 700
	星级: 4

	卡名: 英豪挑战者 斯巴达兵
	密码: 50491121
	描述: 1回合1次，对方怪兽的攻击宣言时选择这张卡以外的自己场上1只名字带有「英豪」的怪兽才能发动。这张卡的攻击力直到战斗阶段结束时上升选择的怪兽的原本攻击力数值。
	OT: OCG|TCG
	同名卡: 
	字段: 英豪挑战者
	卡片种类: 怪兽|效果
	效果类型: 攻守变化
	属性: 地
	种族: 战士
	攻击力: 1600
	防御力: 1000
	星级: 4

	卡名: 鲨口人
	密码: 50532786
	描述: 这张卡不能特殊召唤。这张卡上级召唤的场合，解放的怪兽必须是水属性怪兽。这张卡的攻击力上升这张卡以外的自己场上表侧表示存在的水属性怪兽每1只300。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 攻守变化
	属性: 水
	种族: 兽战士
	攻击力: 2600
	防御力: 1600
	星级: 6

	卡名: 提示符叉角羚
	密码: 50548657
	描述: 这个卡名的效果1回合只能使用1次。
①：把自己场上1只4星以下的电子界族怪兽解放才能发动。等级合计直到变成和解放的怪兽的等级相同为止，从自己的卡组·墓地选电子界族通常怪兽任意数量特殊召唤。这个效果特殊召唤的怪兽在结束阶段除外。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 卡片除外|特殊召唤
	属性: 暗
	种族: 电子界
	攻击力: 200
	防御力: 400
	星级: 1

	卡名: 沙之赌徒
	密码: 50593156
	描述: 进行3次投掷硬币。3次都是表的场合，对方场上怪兽全部破坏。3次都是里的场合，自己场上怪兽全部破坏。这个效果1回合只有1次在自己的主要阶段才能使用。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 怪兽破坏|幸运
	属性: 光
	种族: 魔法师
	攻击力: 300
	防御力: 1600
	星级: 3

	卡名: X-剑士 加拉哈德
	密码: 50604950
	描述: 这张卡向对方怪兽攻击的场合，伤害步骤内攻击力上升300。这张卡被对方怪兽攻击的场合，伤害步骤内攻击力下降500。这张卡被选择作为攻击对象时，可以把自己场上存在的这张卡以外的1只名字带有「剑士」的怪兽解放，那次攻击无效。
	OT: OCG|TCG
	同名卡: 
	字段: X-剑士
	卡片种类: 怪兽|效果
	效果类型: 送去墓地|攻守变化|攻击限制
	属性: 地
	种族: 战士
	攻击力: 1800
	防御力: 800
	星级: 4

	卡名: 伤害法师
	密码: 50613779
	描述: 卡的效果让自己受到伤害时才能发动。这张卡从手卡特殊召唤，自己基本分回复受到的伤害的数值。
